curated_family,family,source_resource,source_sheet,enzyme_full_name,enzyme_common_name,species,substrate,product,text
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate:glyoxylate aminotransferase,GGA,Spinacia oleracea,glyoxylate; DL-tryptophane,glycine; indole-3-pyruvate,glutamate:glyoxylate aminotransferase GGA   Spinacia oleracea   glyoxylate; DL-tryptophane glycine; indole-3-pyruvate Glycolate and glyoxylate metabolism by isolated peroxisomes or chloroplasts. 10.1104/pp.44.2.242    pass 33090|Viridiplantae GGA|NA
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase 2,ZmAlaAT2,Zea mays,Alanine;2-oxoglutarate,Pyruvate;Glutamate,"Alanine aminotransferase 2 ZmAlaAT2   Zea mays   Alanine;2-oxoglutarate Pyruvate;Glutamate The enzymology of alanine aminotransferase (AlaAT) isoforms from Hordeum vulgare and other organisms, and the HvAlaAT crystal structure. 10.1016/j.abb.2012.06.006  gi|21213577  pass 33090|Viridiplantae GI|21213577|NA|ZMALAAT2|NA"
Aminotransferase,13811|Anthocerotaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tyrosine aminotransferase,AaTAT,Anthoceros agrestis,l-tyrosine; 2-oxoglutarate,4-hydroxyphenylpyruvate; glutamate,Tyrosine aminotransferase AaTAT   Anthoceros agrestis   l-tyrosine; 2-oxoglutarate 4-hydroxyphenylpyruvate; glutamate Identification and biochemical characterisation of tyrosine aminotransferase from Anthoceros agrestis unveils the conceivable entry point into rosmarinic acid biosynthesis in hornworts. 10.1007/s00425-021-03623-2  MN922307  pass 33090|Viridiplantae MN922307|PF00155;Aminotran_1_2;1|AATAT|NA A0A8E3Z7M3_9EMBR A0A8E3Z7M3   Anthoceros_agrestis
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase; Alanine aminotransferase 1,AlaAT1,Triticum aestivum,L-alanine; 2-oxoglutarate; alanine,pyruvate; glutamate,Alanine aminotransferase; Alanine aminotransferase 1 AlaAT1   Triticum aestivum   L-alanine; 2-oxoglutarate; alanine pyruvate; glutamate Differential regulation of alanine aminotransferase homologues by abiotic stresses in wheat (Triticum aestivum L.) seedlings. 10.1007/s00299-012-1231-2    pass 33090|Viridiplantae ALAAT1|PF00155;Aminotran_1_2;1|ALAAT1|IPR045088;ALAT1/2-like;IPR004839;Aminotransferase_I/II;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small ALAT1_ARATH F4I7I0|Q56Z96|Q94BP8|Q9LKJ4|Q9LN15 NP_173173.3|NP_173173 NM_101591.6|NM_101591 Arabidopsis_thaliana
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,aspartate aminotransferase,AtAspAT,Arabidopsis thaliana,Glu,Asp,"aspartate aminotransferase AtAspAT   Arabidopsis thaliana   Glu Asp Heterologous Expression of Key C and N Metabolic Enzymes Improves Re-assimilation of Photorespired CO2 and NH3, and Growth. 10.1104/pp.18.00379    pass 33090|Viridiplantae ATASPAT|NA"
Aminotransferase,4037|Apiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate aminotransferase form I,AAT1,Daucus carota,aspartate; alpha-ketoglutarate,oxaloacetate; glutamate,Aspartate aminotransferase form I AAT1   Daucus carota   aspartate; alpha-ketoglutarate oxaloacetate; glutamate Rapid purification and thermostability of the cytoplasmic aspartate aminotransferase from carrot suspension cultures. 10.1104/pp.97.2.606    pass 33090|Viridiplantae AAT1|PF00155;Aminotran_1_2;1|AAT1|IPR004839;Aminotransferase_I/II;IPR000796;Asp_trans;IPR004838;NHTrfase_class1_PyrdxlP-BS;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|AAT1|PF02803;Thiolase_C;1;PF00108;Thiolase_N;1|AAT1|IPR002155;Thiolase;IPR016039;Thiolase-like;IPR020615;Thiolase_acyl_enz_int_AS;IPR020610;Thiolase_AS;IPR020617;Thiolase_C;IPR020613;Thiolase_CS;IPR020616;Thiolase_N|AAT1|PF02458;Transferase;1|AAT1|IPR023213;CAT-like_dom_sf;IPR050317;Plant_Fungal_Acyltransferase|AAT1|PF13520;AA_permease_2;1;PF13906;AA_permease_C;1|AAT1|IPR002293;AA/rel_permease1;IPR029485;CAT_C|AAT1|PF00108;Thiolase_N;1|AAT1|NA AAT5_ARATH|ACCT2_ARATH|ATRGA_MALDO|CAAT1_ARATH|Q6QLX4_SOLLC|M5WU76_PRUPE|A0A251VMI4_HELAN|B2WV06_9FABA|B2WV62_9FABA|R1BPH5_EMIHU|B2WV82_9FABA|B2WV81_9FABA|B2WV21_9FABA|B2WV59_9FABA|B3F2K5_9ORYZ|B2WV00_9FABA|B2WV37_9FABA|B2WV09_9FABA|B3F2K7_9ORYZ|B2WV25_9FABA|B2WUZ9_9FABA|B2WV36_9FABA|B2WV68_9FABA|B2WV92_9FABA|B2WV91_9FABA|B2WV93_9FABA|A0A6S6QPR9_9SOLN|B2WV52_9FABA|A0A6S6QG78_SOLHA|A0A6S6QDC5_9SOLN|B2WV05_9FABA|B2WV07_9FABA|B3F2K8_9ORYZ|B2WV72_SWAPO|B2WV71_SWAPO|B2WV73_SWAPO|B2WUZ7_9FABA|Q0GA14_LAVAN|B2WV94_9FABA|A0A6S6QMQ8_SOLPN|B2WV75_9FABA|A0A0A0RSG8_SOLPN|B2WV78_9FABA|A0A371EKB5_MUCPR|A0A7T8CZB0_9APIA|F0Y4A7_AURAN|D0QJ94_VASCU|B2WV79_9FABA|B2WV63_9FABA|B2WV61_9FABA|B2WV60_9FABA|B2WV66_9FABA|B3F2K2_ORYRU|A0A9Q0F9A6_9ROSI|V9QNV9_9ROSA|B2WV53_9FABA|B3F2K3_ORYPU|B2WV98_9FABA|B2WV70_9FABA|A0A2H4GXF1_9FABA|B2WV48_9FABA|B2WV02_9FABA|B2WV24_9FABA|A0AAP0G5R2_9ASPA|A0AAP0GB63_9ASPA|B2WV49_9FABA|B2WV12_9FABA|B2WV13_9FABA|B2WV11_9FABA|B2WV83_9FABA|A0A6S6QJP7_SOLPI|B2WUZ3_9FABA|B2WV03_9FABA|B2WV04_9FABA|B2WV90_9FABA|A0AAD9MMU7_PROWI|B2WV74_9FABA|B2WV17_9FABA|B2WV10_9FABA|B2WV35_9FABA|B2WV18_9FABA|M4I0T7_9SOLA|B2WV44_9FABA|B2WV27_9FABA|B2WV33_9FABA|B2WV28_9FABA|B2WV34_9FABA|B2WV87_9FABA|A0A2H4GXF0_9FABA|A0A6S6QP03_9SOLN|B2WV88_9FABA|B2WV51_9FABA|A8W8Y0_CITSI|B2WV97_9FABA|B2WV80_9FABA|B2WV55_9FABA|B2WUZ8_9FABA|B2WV99_9FABA|B2WV39_9FABA|B2WV43_9FABA|B2WV40_9FABA|B2WV42_9FABA|B2WV41_9FABA|B2WV84_9FABA|B2WV38_9FABA|A0A1J6IY53_NICAT|Q5I6B5_ROSHC|B2WV31_9FABA|B2WV57_9FABA|B2WV58_9FABA|B2WV29_9FABA|A0A0F6VXG8_DIOKA|B2WUZ5_9FABA|B2WUZ4_9FABA|B2WV47_9FABA|B2WV20_9FABA|A0A1P8B561_ARATH|B2WV26_9FABA|D0QJ93_9ROSA|B2WV14_9FABA|B2WV85_9FABA|A0A6S6QQG6_SOLCE|B2WV67_9FABA|B3F2K4_9ORYZ|B2WV30_9FABA|B2WV56_9FABA|B2WV23_9FABA|B2WV77_9FABA|B2WV76_9FABA|B2WUZ6_9FABA|B3F2K6_ORYBR|B2WV32_9FABA|B2WV86_9FABA|B2WV50_9FABA|B2WV01_9FABA|B2WV46_9FABA|B2WV45_9FABA|B2WV19_9FABA|B2WV96_9FABA|B2WV22_9FABA|B2WV89_9FABA|B2WV95_9FABA|B2WV16_9FABA|B2WV15_9FABA|B2WV54_9FABA|A0A1Y0DDF3_9ROSI|B2WV69_9FABA P46248|O49392|Q8LGE6|Q8S4Y1|Q93YW6|Q9LUB1|Q64FJ6|B2ZZ12|Q84MA5|Q7DLY7|Q96241|Q6QLX4|M5WU76|A0A251VMI4|B2WV06|B2WV62|R1BPH5|B2WV82|B2WV81|B2WV21|B2WV59|B3F2K5|B2WV00|B2WV37|B2WV09|B3F2K7|B2WV25|B2WUZ9|B2WV36|B2WV68|B2WV92|B2WV91|B2WV93|A0A6S6QPR9|B2WV52|A0A6S6QG78|A0A6S6QDC5|B2WV05|B2WV07|B3F2K8|B2WV72|B2WV71|B2WV73|B2WUZ7|Q0GA14|B2WV94|A0A6S6QMQ8|B2WV75|A0A0A0RSG8|B2WV78|A0A371EKB5|A0A7T8CZB0|F0Y4A7|D0QJ94|B2WV79|B2WV63|B2WV61|B2WV60|B2WV66|B3F2K2|A0A9Q0F9A6|V9QNV9|B2WV53|B3F2K3|B2WV98|B2WV70|A0A2H4GXF1|B2WV48|B2WV02|B2WV24|A0AAP0G5R2|A0AAP0GB63|B2WV49|B2WV12|B2WV13|B2WV11|B2WV83|A0A6S6QJP7|B2WUZ3|B2WV03|B2WV04|B2WV90|A0AAD9MMU7|B2WV74|B2WV17|B2WV10|B2WV35|B2WV18|M4I0T7|B2WV44|B2WV27|B2WV33|B2WV28|B2WV34|B2WV87|A0A2H4GXF0|A0A6S6QP03|B2WV88|B2WV51|A8W8Y0|B2WV97|B2WV80|B2WV55|B2WUZ8|B2WV99|B2WV39|B2WV43|B2WV40|B2WV42|B2WV41|B2WV84|B2WV38|A0A1J6IY53|Q5I6B5|B2WV31|B2WV57|B2WV58|B2WV29|A0A0F6VXG8|B2WUZ5|B2WUZ4|B2WV47|B2WV20|A0A1P8B561|B2WV26|D0QJ93|B2WV14|B2WV85|A0A6S6QQG6|B2WV67|B3F2K4|B2WV30|B2WV56|B2WV23|B2WV77|B2WV76|B2WUZ6|B3F2K6|B2WV32|B2WV86|B2WV50|B2WV01|B2WV46|B2WV45|B2WV19|B2WV96|B2WV22|B2WV89|B2WV95|B2WV16|B2WV15|B2WV54|A0A1Y0DDF3|B2WV69 NP_194927.1|NP_194927|NP_849483.1|NP_849483|NP_568694.2|NP_568694|NP_851154.1|NP_851154|NP_001315675.1|NP_001315675|XP_008343918.1|XP_008343918|NP_193844.2|NP_193844|NP_001234496.1|NP_001234496|XP_007209131.1|XP_007209131||XP_005764372.1|XP_005764372|NP_001310384.1|NP_001310384|XP_009034920.1|XP_009034920|NP_001275839.1|NP_001275839|XP_019249328.1|XP_019249328|NP_001328597.1|NP_001328597 NM_119351.3|NM_119351|NM_179152.3|NM_179152|NM_124198.4|NM_124198|NM_180823.3|NM_180823|NM_001328746.1|NM_001328746|XM_008345696.1|XM_008345696|NM_118231.4|NM_118231|NM_001247567.2|NM_001247567|XM_007209069.1|XM_007209069||XM_005764315.1|XM_005764315|NM_001323455.1|NM_001323455|XM_009036672.1|XM_009036672|NM_001288910.1|NM_001288910|XM_019393783.1|XM_019393783|NM_001341473.1|NM_001341473 Arabidopsis_thaliana|Malus_domestica|Solanum_lycopersicum|Prunus_persica|Helianthus_annuus|Swartzia_arborescens|Swartz
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,alanine aminotransferase,AAT,Pisum sativum,L-alanine; alpha-ketoglutarate,pyruvate; L-glutamate,alanine aminotransferase AAT   Pisum sativum   L-alanine; alpha-ketoglutarate pyruvate; L-glutamate Effects of SO(2) on Stomatal Metabolism in Pisum sativum L. 10.1104/pp.72.2.573    pass 33090|Viridiplantae AAT|PF00155;Aminotran_1_2;1|AAT|IPR004839;Aminotransferase_I/II;IPR050596;Class-I_PLP-Dep_Aminotrans;IPR004838;NHTrfase_class1_PyrdxlP-BS;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|AAT|PF02458;Transferase;1|AAT|NA|AAT|PF03219;TLC;1|AAT|PF03417;AAT;1|AAT|PF02803;Thiolase_C;1;PF00108;Thiolase_N;1|AAT|PF01490;Aa_trans;1 PAT_ARATH|PAT_PINPS|B1A9J8_CUCME|O48548_SOYBN|A9DG57_MEDTR|A9DGI0_9FABA|A0A078BCB9_9FABA|Q4VVF4_HELTU|B6THR2_MAIZE|A9DGC8_MEDTR|F0Y8M2_AURAN|Q6YEY2_VITVI|W7U3D6_9STRA|A0A0A7H8K8_PRUAR|B3VP15_PRUAR|Q9ZTX1_HORVU|Q7G1G6_SOYBN|D5ACX1_PICSI|C6TEL7_SOYBN|A0A6M2F9E6_9ROSI|A0A1U8W0X8_9LAMI|A0A0A9EF48_ARUDO|A0A0A9HKQ1_ARUDO|A0A0A9EKA8_ARUDO|Q9FVF1_FRAAN|A0A1J0CLC8_FRAAN|B9MSV0_FAGSY|A0A0A7CNG6_ACHHY|Q43781_LOTJA|I3S9W5_LOTJA|A0A7C9ARW2_OPUST|A0A7C9ESJ9_OPUST|D7FVR8_ECTSI Q9SIE1|E9L7A7|Q3E6N9|Q8LFX1|Q8VZI1|Q5F4K8|B1A9J8|O48548|A9DG57|A9DGI0|A0A078BCB9|Q4VVF4|B6THR2|A9DGC8|F0Y8M2|Q6YEY2|W7U3D6|A0A0A7H8K8|B3VP15|Q9ZTX1|Q7G1G6|D5ACX1|C6TEL7|A0A6M2F9E6|A0A1U8W0X8|A0A0A9EF48|A0A0A9HKQ1|A0A0A9EKA8|Q9FVF1|A0A1J0CLC8|B9MSV0|A0A0A7CNG6|Q43781|I3S9W5|A0A7C9ARW2|A0A7C9ESJ9|D7FVR8 NP_001031394.1|NP_001031394|NP_565529.1|NP_565529|NP_850022.1|NP_850022||NP_001284403.1|NP_001284403|NP_001237541.1|NP_001237541|NP_001149746.1|NP_001149746|XP_009036682.1|XP_009036682|NP_001242552.1|NP_001242552 NM_001036317.1|NM_001036317|NM_127791.3|NM_127791|NM_179691.4|NM_179691||NM_001297474.1|NM_001297474|NM_001250612.1|NM_001250612|NM_001156274.1|NM_001156274|XM_009038434.1|XM_009038434|NM_001255623.1|NM_001255623 Arabidopsis_thaliana|Pinus_pinaster|Cucumis_melo|Glycine_max|Medicago_truncatula_var._truncatula|Medicago_tornata|Xylia_xylocarpa_var._kerrii|Helianthus_tuberosus|Zea_mays|Medicago_truncatula_var._longiaculeata|Aureococcus_anophagefferens|Vitis_vinifera|Nannochloropsis_gaditana|Prunus_armeniaca|Hordeum_vulgare|Picea_sitchensis|Populus_davidiana|Osmanthus_fragrans|Arundo_donax|Fragaria_ananassa|Fagus_sylvatica|Achlya_hypogyna|Lotus_japonicus|Opuntia_streptacantha|Ectocarpus_siliculosus
Aminotransferase,21571|Boraginaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,prephenate aminotransferase,PAT,Anchusa officinalis,prephenate;glutamate,L-arogenate,prephenate aminotransferase PAT   Anchusa officinalis   prephenate;glutamate L-arogenate Identification of a plant gene encoding glutamate/aspartate-prephenate aminotransferase: the last homeless enzyme of aromatic amino acids biosynthesis. 10.1016/j.febslet.2010.09.037    pass 33090|Viridiplantae PAT|PF00155;Aminotran_1_2;1|PAT|IPR004839;Aminotransferase_I/II;IPR050596;Class-I_PLP-Dep_Aminotrans;IPR004838;NHTrfase_class1_PyrdxlP-BS;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small PAT_ARATH|E5LBC4_SOLLC|A0A251S9V0_HELAN|A0A6H5JFT3_9PHAE|A0A1E7FFX3_9STRA|A0A2I0W9A3_9ASPA Q9SIE1|E9L7A7|Q3E6N9|Q8LFX1|Q8VZI1|E5LBC4|A0A251S9V0|A0A6H5JFT3|A0A1E7FFX3|A0A2I0W9A3 NP_001031394.1|NP_001031394|NP_565529.1|NP_565529|NP_850022.1|NP_850022|NP_001234609.1|NP_001234609| NM_001036317.1|NM_001036317|NM_127791.3|NM_127791|NM_179691.4|NM_179691|NM_001247680.1|NM_001247680| Arabidopsis_thaliana|Solanum_lycopersicum|Helianthus_annuus|Ectocarpus_sp._CCAP_1310/34|Fragilariopsis_cylindrus_CCMP1102|Dendrobium_catenatum
Aminotransferase,543|Enterobacteriaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Branched-chain amino acid aminotransferase,IlvE,Escherichia coli,L-leucine; Î±-ketoglutarate,4-methyl-2-oxopentanoate; L-glutamate,Branched-chain amino acid aminotransferase IlvE   Escherichia coli   L-leucine; Î±-ketoglutarate 4-methyl-2-oxopentanoate; L-glutamate Development of glutamate:glyoxylate aminotransferase in the cotyledons of cucumber (Cucumis sativus) seedlings. 10.1042/bj2010209 P00561   pass 2|Bacteria P00561|NA|ILVE|NA
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tryptophan aminotransferase,TAA1,Triticum aestivum,L-tryptophan;D-tryptophan;tryptophan,indole-3-pyruvic acid,"Tryptophan aminotransferase TAA1   Triticum aestivum   L-tryptophan;D-tryptophan;tryptophan indole-3-pyruvic acid Auxin biosynthesis inhibitors, identified by a genomics-based approach, provide insights into auxin biosynthesis. 10.1093/pcp/pcq032    pass 33090|Viridiplantae TAA1|PF04864;Alliinase_C;1|TAA1|IPR006948;Alliinase_C;IPR037029;Alliinase_N_sf;IPR050478;Ethylene_sulfur-biosynth;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|TAA1|PF05658;YadA_head;2 TAA1_ARATH|TAR2_ORYSJ|V9VJE1_COFCA|A0A371FRI2_MUCPR|A0A0U1XIN8_CATRO|A0A1E7EV63_9STRA|A0A314KKK7_NICAT|A0A1Z3GWX8_FRAAN Q9S7N2|Q5VQG8|Q0JQC9|V9VJE1|A0A371FRI2|A0A0U1XIN8|A0A1E7EV63|A0A314KKK7|A0A1Z3GWX8 NP_177213.1|NP_177213|XP_015648041.1|XP_015648041|XP_015648050.1|XP_015648050||XP_019230040.1|XP_019230040 NM_105724.3|NM_105724|XM_015792555.1|XM_015792555|XM_015792564.1|XM_015792564||XM_019374495.1|XM_019374495 Arabidopsis_thaliana|Oryza_sativa_subsp._japonica|Coffea_canephora|Mucuna_pruriens|Catharanthus_roseus|Fragilariopsis_cylindrus_CCMP1102|Nicotiana_attenuata|Fragaria_ananassa"
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Putative Î³-aminobutyrate aminotransferase,PGA4,Solanum tuberosum,Î³-aminobutyric acid,,"Putative Î³-aminobutyrate aminotransferase PGA4   Solanum tuberosum   Î³-aminobutyric acid  Characterization of C-26 aminotransferase, indispensable for steroidal glycoalkaloid biosynthesis. 10.1111/tpj.15426   Sotub12g011080.1.1 pass 33090|Viridiplantae SOTUB12G011080.1.1|NA|SOTUB12G011080|NA|PGA4|PF00295;Glyco_hydro_28;1|PGA4|IPR000743;Glyco_hydro_28;IPR006626;PbH1;IPR012334;Pectin_lyas_fold;IPR011050;Pectin_lyase_fold/virulence PGLR1_ARATH P49062 NP_171778.1|NP_171778 NM_100158.3|NM_100158 Arabidopsis_thaliana"
Aminotransferase,543|Enterobacteriaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Diaminopelargonic Acid Aminotransferase,bioA,Escherichia coli,7-keto-8-aminopelargonic acid; L-Lysine,"7,8-diaminopelargonic acid","Diaminopelargonic Acid Aminotransferase bioA   Escherichia coli   7-keto-8-aminopelargonic acid; L-Lysine 7,8-diaminopelargonic acid Biochemical and structural characterization of the Arabidopsis bifunctional enzyme dethiobiotin synthetase-diaminopelargonic acid aminotransferase: evidence for substrate channeling in biotin synthesis. 10.1105/tpc.112.097675  1DAM;NP_415299.1  pass 2|Bacteria 1DAM|NA|NP_415299.1|NA|NP_415299|NA|BIOA|NA"
Aminotransferase,3542|Aizoaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase,AAT,Mesembryanthemum crystallinum,alanine,pyruvate,Alanine aminotransferase AAT   Mesembryanthemum crystallinum   alanine pyruvate Activity of enzymes of carbon metabolism during the induction of Crassulacean acid metabolism in Mesembryanthemum crystallinum L. 10.1007/BF00402925    pass 33090|Viridiplantae AAT|PF00155;Aminotran_1_2;1|AAT|IPR004839;Aminotransferase_I/II;IPR050596;Class-I_PLP-Dep_Aminotrans;IPR004838;NHTrfase_class1_PyrdxlP-BS;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|AAT|PF02458;Transferase;1|AAT|NA|AAT|PF03219;TLC;1|AAT|PF03417;AAT;1|AAT|PF02803;Thiolase_C;1;PF00108;Thiolase_N;1|AAT|PF01490;Aa_trans;1 PAT_ARATH|PAT_PINPS|B1A9J8_CUCME|O48548_SOYBN|A9DG57_MEDTR|A9DGI0_9FABA|A0A078BCB9_9FABA|Q4VVF4_HELTU|B6THR2_MAIZE|A9DGC8_MEDTR|F0Y8M2_AURAN|Q6YEY2_VITVI|W7U3D6_9STRA|A0A0A7H8K8_PRUAR|B3VP15_PRUAR|Q9ZTX1_HORVU|Q7G1G6_SOYBN|D5ACX1_PICSI|C6TEL7_SOYBN|A0A6M2F9E6_9ROSI|A0A1U8W0X8_9LAMI|A0A0A9EF48_ARUDO|A0A0A9HKQ1_ARUDO|A0A0A9EKA8_ARUDO|Q9FVF1_FRAAN|A0A1J0CLC8_FRAAN|B9MSV0_FAGSY|A0A0A7CNG6_ACHHY|Q43781_LOTJA|I3S9W5_LOTJA|A0A7C9ARW2_OPUST|A0A7C9ESJ9_OPUST|D7FVR8_ECTSI Q9SIE1|E9L7A7|Q3E6N9|Q8LFX1|Q8VZI1|Q5F4K8|B1A9J8|O48548|A9DG57|A9DGI0|A0A078BCB9|Q4VVF4|B6THR2|A9DGC8|F0Y8M2|Q6YEY2|W7U3D6|A0A0A7H8K8|B3VP15|Q9ZTX1|Q7G1G6|D5ACX1|C6TEL7|A0A6M2F9E6|A0A1U8W0X8|A0A0A9EF48|A0A0A9HKQ1|A0A0A9EKA8|Q9FVF1|A0A1J0CLC8|B9MSV0|A0A0A7CNG6|Q43781|I3S9W5|A0A7C9ARW2|A0A7C9ESJ9|D7FVR8 NP_001031394.1|NP_001031394|NP_565529.1|NP_565529|NP_850022.1|NP_850022||NP_001284403.1|NP_001284403|NP_001237541.1|NP_001237541|NP_001149746.1|NP_001149746|XP_009036682.1|XP_009036682|NP_001242552.1|NP_001242552 NM_001036317.1|NM_001036317|NM_127791.3|NM_127791|NM_179691.4|NM_179691||NM_001297474.1|NM_001297474|NM_001250612.1|NM_001250612|NM_001156274.1|NM_001156274|XM_009038434.1|XM_009038434|NM_001255623.1|NM_001255623 Arabidopsis_thaliana|Pinus_pinaster|Cucumis_melo|Glycine_max|Medicago_truncatula_var._truncatula|Medicago_tornata|Xylia_xylocarpa_var._kerrii|Helianthus_tuberosus|Zea_mays|Medicago_truncatula_var._longiaculeata|Aureococcus_anophagefferens|Vitis_vinifera|Nannochloropsis_gaditana|Prunus_armeniaca|Hordeum_vulgare|Picea_sitchensis|Populus_davidiana|Osmanthus_fragrans|Arundo_donax|Fragaria_ananassa|Fagus_sylvatica|Achlya_hypogyna|Lotus_japonicus|Opuntia_streptacantha|Ectocarpus_siliculosus
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,LL-Diaminopimelate Aminotransferase,LL-DAP-AT,Arabidopsis thaliana,tetrahydrodipicolinate,LL-diaminopimelate,LL-Diaminopimelate Aminotransferase LL-DAP-AT   Arabidopsis thaliana   tetrahydrodipicolinate LL-diaminopimelate An LL-diaminopimelate aminotransferase defines a novel variant of the lysine biosynthesis pathway in plants. 10.1104/pp.105.072629   At4g33680 pass 33090|Viridiplantae AT4G33680|NA|LL-DAP-AT|PF00155;Aminotran_1_2;1 DAPAT_ARATH|W0BWR0_LOTJA Q93ZN9|O81885|W0BWR0 NP_567934.1|NP_567934| NM_119526.4|NM_119526| Arabidopsis_thaliana|Lotus_japonicus
Aminotransferase,3465|Papaveraceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tyrosine Aminotransferase,PsTyrAT,Papaver somniferum,L-Phenylalanine,phenylpyruvate,Tyrosine Aminotransferase PsTyrAT   Papaver somniferum   L-Phenylalanine phenylpyruvate Tyrosine aminotransferase contributes to benzylisoquinoline alkaloid biosynthesis in opium poppy. 10.1104/pp.111.185512  GU370929  pass 33090|Viridiplantae GU370929|PF00155;Aminotran_1_2;1|PSTYRAT|NA D3K4J1_PAPSO D3K4J1   Papaver_somniferum
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Branched-chain amino acid aminotransferase 3,SlBCAT3,Solanum lycopersicum,valine,isobutyl acetate,Branched-chain amino acid aminotransferase 3 SlBCAT3   Solanum lycopersicum   valine isobutyl acetate Catabolism of branched chain amino acids supports respiration but not volatile synthesis in tomato fruits. 10.1093/mp/ssr108    pass 33090|Viridiplantae SLBCAT3|NA
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate transaminase,SlAAT,Solanum lycopersicum,Aspartic acid,Oxaloacetate,Aspartate transaminase SlAAT   Solanum lycopersicum   Aspartic acid Oxaloacetate Biochemical mechanism on GABA accumulation during fruit development in tomato. 10.1093/pcp/pcn113    pass 33090|Viridiplantae SLAAT|NA
Aminotransferase,,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,beta-Alanine aminotransferase,,Bean Cotyledons,beta-Alanine,malonate semialdehyde; ethylene,beta-Alanine aminotransferase    Bean Cotyledons   beta-Alanine malonate semialdehyde; ethylene Structural studies on the synchronization of catalytic centers in glutamate synthase. 10.1074/jbc.M202541200    pass
Aminotransferase,3650|Cucurbitaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Serine:glyoxylate aminotransferase,SGAT,Cucumis sativus,Serine,Glycine,Serine:glyoxylate aminotransferase SGAT   Cucumis sativus   Serine Glycine Isolation of serine:glyoxylate aminotransferase from cucumber cotyledons. 10.1104/pp.79.1.95    pass 33090|Viridiplantae SGAT|PF00266;Aminotran_5;1|SGAT|NA A0A0A6ZHA3_GOSHI|A0A1D8RJ17_ELECO|Q8LGQ7_SPIPO A0A0A6ZHA3|A0A1D8RJ17|Q8LGQ7 NP_001314412.1|NP_001314412|XP_016734507.1|XP_016734507| NM_001327483.1|NM_001327483|XM_016879018.1|XM_016879018| Gossypium_hirsutum|Eleusine_coracana|Spirodela_polyrhiza
